title,summary,published,arxiv_url,pdf_url
自動デコードグラフ,私たちは、経験的に指定された分布から新しいグラフ構造を合成するためのアプローチを提示します。生成モデルを学習する潜在コードからグラフを合成すること自動デコーダです。グラフ合成モデルは、潜在コード上経験分布と共同学習されます。グラフはおそらく、接続パターンを識別するように訓練されている自己の注目モジュールを使用して合成されます。グラフベースの正規化フローは、自動デコーダによって学習分布からサンプル潜コードに使用されます。得られたモデルは、正確さとスケーラビリティを兼ね備えました。大きいグラフのベンチマークデータセット上で、提示モデルは、推論中2Xスピードアップして、平均精度および少なくとも3つの異なるグラフの統計全体の平均ランク1.5倍最新技術よりも性能が優れています。,2020-06-04T14:23:01Z,http://arxiv.org/abs/2006.02879v1,http://arxiv.org/pdf/2006.02879v1
二層のニューラルネットワークと暗記のためのネットワークのサイズと重量サイズ,1988年に、エリックB.バウムは、閾値活性化機能を有する二層ニューラルネットワークが完全にのみ$ \ ulcorner N / Dを使用して$ \ mathbb {R} ^ D $の一般的な位置におけるバイナリ$のラベルN $点を記憶することができることを示しました\ urcornerの$ニューロン。我々は1つが、任意の真のラベルを収めることができ、多くの神経細胞の4倍を使用して、ReLUネットワークとそれを観察します。また、$ \イプシロン$の誤差に近似暗記アップのために、神経接線カーネルはまたのみ$ O \左（\ FRAC {n}は{D} \ CDOT \（1 / \イプシロンログ）\右）$ニューロンと覚えることができます（データは十分すぎる分散されると仮定して）。我々は、これらの構造は、ニューロン重みの大きさがはるかに最適ですからネットワークを生じさせることが示されています。対照的に、我々は、両方の$ O \と近似暗記を示しているため、神経細胞の再結合（実際のとは対照的に）錯体に基づく、ReLUネットワークのための新しいトレーニング手順を提案する（\ FRAC {n}は{D} \ CDOTを左\ FRAC {\ログ（1 / \イプシロン）} {\イプシロン} \右）$ニューロンの重みならびにほぼ最適なサイズ。,2020-06-04T13:44:57Z,http://arxiv.org/abs/2006.02855v1,http://arxiv.org/pdf/2006.02855v1
下の方に畳み込みニューラルネットワークのトレーニングのための乗算をビット,畳み込みニューラルネットワーク（CNNs）は広く多くの分野で使用されています。しかし、トレーニングプロセスは、畳み込み演算が大部分を消費するには、多くのエネルギーと時間がかかります。本稿では、畳み込み乗算のためのデータのビット幅を小さくするために、固定小数点研修の枠組みを提案します。第一に、我々は、低ハードウェアコストで実現することができる2つの制約グループ単位のスケーリング方法を提案します。第二に、オーバーフロートレードオフと丸め誤差の課題を克服するために、移動可能な固定小数点データフォーマットは、このフレームワークで使用されています。最後に、我々は同じビット幅のハードウェア乗算器を推論性能を高めるためにダブル幅の展開手法を提案します。実験結果は、トレーニングプロセスにおける畳み込みの入力データは無視できる程度の精度劣化とCIFAR-10データセット、ImageNetデータセットの6ビットのための2ビットに量子化することができることを示しています。さらに、当社の固定小数点トレーニングフレームワークは、訓練プロセスにおける演算の少なくとも75％のエネルギーを節約する可能性を秘めています。,2020-06-04T12:09:35Z,http://arxiv.org/abs/2006.02804v1,http://arxiv.org/pdf/2006.02804v1
リニア整流器で克服オーバーフィッティングと大きな重みの更新問題：閾値指数整流線形単位,過去数年間では、リニア整流されたユニットの活性化関数はシグモイドアクティベーションのパフォーマンスを上回る、ニューラルネットワークにおけるその重要性を示しています。 RELU（ナイール・ヒントン、2010）、ELU（Clevertら2015年）、PRELU（Heら。、2015）、LRELU（マースら、2013）、SRELU（ジンら、2016）、ThresholdedRELU 、これらすべてのリニア整流された活性化関数は、いくつかの局面では他のものより、独自の意義を持っています。時間のほとんどは、これらの活性化関数は、非ゼロ出力の平均値、および起因それぞれモデル予測に遅くトレーニング、および高分散をもたらすユニット勾配に深い複雑なネットワークで高い重み更新問題にバイアスシフトの問題に苦しみます。大きな重み更新問題を：本稿では、「閾値指数整流されたリニアユニット」オーバーフィッティングに軽減してより良い作品（TERELU）活性化機能、提案しています。他の線形整流器に比べて、オーバーフィッティングの問題を軽減するとともに、この方法は、非直線性の良い量を与えます。私たちは、他のアクティベーションに比べTERELU活性化方法を考慮し、ニューラルネットワークを使用して、さまざまなデータセットに優れたパフォーマンスを表示します。,2020-06-04T11:55:47Z,http://arxiv.org/abs/2006.02797v1,http://arxiv.org/pdf/2006.02797v1
永続図のためのファジィc-平均クラスタリング,図持続性、トポロジカルデータ分析の分野における重要なツールでは、簡潔にポイントクラウドのトポロジを表しています。地上真実トポロジの事前知識を必要とするかのトレードオフ情報の損失と次元の呪いを呼び出す間を提供し、特徴ベクトルにそれらをマッピングのいずれか、機械学習に永続性ダイアグラムを統合するための最も現在の方法。本稿では、自動的に永続図の事前知識または追加の処理で、データの位相構造を捕捉すること教師なし学習を可能にする、永続性ダイアグラムの空間に直接クラスタリングファジィC-means法（FCM）のアルゴリズムを与えます。私たちは、伝統的なFCMクラスタリングと同じ収束の保証を証明する：私達のアルゴリズムのいずれかの収束サブシーケンスが極小またはコスト関数の鞍点に傾向があること。我々はまた、より速く、少なくとも一桁を実行しながら、成功したクラスタに匹敵ワッサー重心クラスタリングアルゴリズムは失敗材料科学からのデータセットを変換することができ、当社のアルゴリズムを実証実験を提示することによって終了します。,2020-06-04T11:45:20Z,http://arxiv.org/abs/2006.02796v1,http://arxiv.org/pdf/2006.02796v1
重剪定を経由して適応スパース損失,ニューラルネットワークを剪定することは圧縮最先端の深いニューラルネットワークのための手段として、近年の関心を取り戻し、リソースに制約のあるデバイス上での展開を可能にしました。本稿では、効率的に、最小限の計算オーバーヘッドで訓練中にネットワークパラメータを剪定強力な圧縮学習の枠組みを提案します。私たちは、自動的にユーザー定義の予算制約の下で、ネットワーク全体を剪定するためにこれらの際に、個々の層やビルドを剪定するための高速メカニズムを組み込みます。当社のエンドツーエンドのネットワーク剪定アプローチの鍵は、明示的、効率的な予算を意識した最適化を可能に、トレーニング中にスパース性を制御するために使用され、直感的で簡単に実装する適応スパース損失の製剤です。広範な実験はAlexNet、ResNetsとワイドResNetsを含め、異なるアーキテクチャを使用してCIFARとImageNetデータセットの画像分類のために提案された枠組みの有効性を実証します。,2020-06-04T10:55:16Z,http://arxiv.org/abs/2006.02768v1,http://arxiv.org/pdf/2006.02768v1
低料金のラベリングとラプラス半教師付き学習の収束の料金,我々は低ラベリング率でグラフベースのラプラシアン半教師あり学習を研究します。ラプラス学習は、ラベルを伝播するために、グラフ上の高調波拡張子を使用しています。非常に低いラベル・レートでは、ラプラス学習が縮退になり、解決策は、各ラベル付きデータポイントでスパイクとほぼ一定です。以前の研究は、標識されていないデータ・ポイントの数が無限大になる傾向がある標識されたデータポイントの数が有限である場合、この縮退が発生したことを示しました。本研究では、ラベル付きデータ点の数がラベルの数を無限に成長することができます。我々の結果は、その長さスケールでランダムな幾何学的グラフの$ \ varepsilon> 0 $と標識率$ \ベータ版の場合> 0 $、$ \ベータ\ LL \ varepsilon ^ 2 $は、その後、ソリューションが退化になり、スパイクが形成され、かどうかを示します$ \ベータ\ GG \ varepsilon ^ 2 $は、ラプラスの学習はよく提起し、連続ラプラス方程式と一致しています。離散問題と連続PDEの解との差のために$、対数因子まで - また、よく提起設定において、我々は$ O（{1/2} \ varepsilon \ベータ^）の定量的な誤差推定を証明します。また、$ P $ -Laplacian正則を研究し、同じ縮退結果$ \ベータ\ LL \ varepsilon ^ P $を示しました。悪いposedness結果の証明は、バリエーションの微積分のツール-convergence $ \ガンマ$を使用しながら、私たちのよくposedness結果の証明は、ラプラス学習とPDE引数のランダムウォークの解釈を使用しています。我々はまた、合成し、実際のデータに存在する数値結果は、我々の結果を説明します。,2020-06-04T10:46:01Z,http://arxiv.org/abs/2006.02765v1,http://arxiv.org/pdf/2006.02765v1
不確実性下での動的最適化のための制約強化学習,ダイナミックなリアルタイムの最適化（DRTOは）により、最適な運転条件をリアルタイムで計算しなければならないという事実のために困難な作業です。 DRTOの産業用アプリケーションにおける主なボトルネックは、不確実性の存在です。 1）プラントモデルの不一致、2）プロセスの障害、3）は、プロセスの制約に違反してリスク：多くの確率論的システムでは、次のような障害を提示します。これらの問題に対応するために、我々は、制約された強化学習（RL）ベースのアプローチを提示します。 RLは自然に最適フィードバックポリシーを計算することによって、プロセスの不確実性を処理します。しかし、状態の制約は、直感的に導入することはできません。この問題に対処するために、我々はチャンスに制約のRLの方法論を提示します。私たちは、最適な政策とバックオフが同時に計算されるように、バックオフを導入することによって達成されるプロセスの制約の確率的満足を保証する機会の制約を使用しています。バックオフは、関節チャンス制約の満足を保証するために経験的累積分布関数を使用して調整されます。この戦略の利点及び性能を持続的価値の高いバイオ製品を生産するために、確率的動的バイオプロセスの最適化問題を介して図示されています。,2020-06-04T10:17:35Z,http://arxiv.org/abs/2006.02750v1,http://arxiv.org/pdf/2006.02750v1
ディープ学習における堅牢なサンプリング,ディープ学習は過学習軽減し、一般化を改善するために、正則化のメカニズムが必要です。私たちは、分布のロバスト最適化に基づく新しい正則化法により、この問題に対処します。キーアイデアは、バインドされ、経験的リスクを締めるために、各サンプルからの寄与を修正することです。確率的なトレーニング中、サンプルの選択は最悪行ったサンプルは、最適化に最も貢献するものであることを、このような方法で、その精度に応じて行われます。私たちは、さまざまなシナリオを検討し、それがより速い収束をしたり、精度を高めることができるものを示しています。,2020-06-04T09:46:52Z,http://arxiv.org/abs/2006.02734v1,http://arxiv.org/pdf/2006.02734v1
さまざまな学習モデルの重み空間を特徴付けます,ディープラーニングは、インテリジェントなマシンを開発する上での主な研究分野の一つとなっています。 AIの（例えば音声認識、画像処理やNLPなど）のよく知られたアプリケーションのほとんどは深い学習によって駆動されます。ディープ学習アルゴリズム模倣する人間の脳人工ニューラルネットワークを使用して徐々に正確に与えられた問題を解決することを学びます。しかし、ディープラーニングシステムにおける重要な課題があります。深い学習モデルは、生物学的な神経回路網を模倣させるために多くの試みがなされてきました。しかし、多くの深い学習モデルは、敵対例の存在下で不振います。ほとんどのアプリケーションでの安全・安心への敵対的攻撃に対する敵対例のリードでターンリードでパフォーマンスが低下。本論文では、3つの異なるサブセットすなわちの面で深いニューラルネットワークの解空間を特徴づける試みを作ります。正確な訓練されたパターンに属する重みは、重みは、一般化パターンのセットと敵対パターンセットに属する重みに属します。我々は2つの一見異なる学習パラダイムのすなわちで解空間を特徴づけるためにしよう。ディープニューラルネットワークと全く異なる機構を介して学習を達成しようとする高密度連想記憶モデル。我々はまた、敵対攻撃は、一般的にディープニューラルネットワークよりも連想メモリモデルに対してそれほど成功していることを示しています。,2020-06-04T09:30:29Z,http://arxiv.org/abs/2006.02724v1,http://arxiv.org/pdf/2006.02724v1
ツリー上の高速アンバランスの最適な交通,この研究では、初めてのアルゴリズムの観点から、アンバランスの最適輸送問題の時の複雑さを調べます。私たちは/効率的に解くことができないことができ、不平衡最適な輸送中のどの問題が明らかになりました。具体的には、ユークリッドメトリックでKantrovichルビンスタインの距離と最適なパーシャルトランスポートが強い指数時間仮説の下で強くsubquadratic時間で計算することができないことを証明します。その後、我々は、メトリックツリー上の準線形時間で正確に、より一般的なアンバランスの最適輸送問題を解くアルゴリズムを提案します。提案されたアルゴリズムは、1秒未満で百万ノードとツリーを処理します。我々の分析は、アンバランス、最適な輸送アルゴリズムの理論的研究のための基盤を形成し、万人規模のデータセットへのアンバランス、最適な輸送のアプリケーションへの扉を開きます。,2020-06-04T08:43:59Z,http://arxiv.org/abs/2006.02703v1,http://arxiv.org/pdf/2006.02703v1
正規化フローと医用画像セグメンテーションにおける不確実性の定量,医用画像セグメンテーションは、本質的にこのような部分的なボリュームおよび解剖学的定義の変化のような要因にあいまいなタスクです。ほとんどの場合、セグメンテーション不確実性が関心の構造の境界付近ではあるが、またかなりの評価者間の違いがあることができます。条件付き変オートエンコーダ（CVAE）のクラスは、入力画像に条件付けされている妥当なのセグメンテーションの上に分布を推定する原則に基づいたアプローチを提供しています。そのような分布のサンプルから推定されたセグメンテーション不確実性は、ピクセルレベルの確率スコアを使用するよりも有益であることができます。本研究では、条件付きの正規化フロー（CFLOW）に基づいて新しい条件付き生成モデルを提案します。基本的な考え方は、エンコーダ後CFLOW変換ステップを導入することによりCVAEの表現力を高めることです。この収率は、モデルがより豊かなセグメンテーション変動を捕捉することができ、潜在事後分布の近似を改善しました。これで、私たちは私たちの条件付き生成モデルから得られた試​​料の品質と多様性が向上することを示しています。我々はCFLOWネットを呼び出す我々のモデルの性能は、最近のCVAEベースのモデルと比較すると、定性的および定量的措置の両方の大幅な改善を実証2つの医用画像データセットで評価されます。,2020-06-04T07:56:46Z,http://arxiv.org/abs/2006.02683v1,http://arxiv.org/pdf/2006.02683v1
ワッサーガンズにいくつかの理論的洞察,生成的敵対ネットワーク（ガンズ）画像、ビデオ、およびテキスト生成などの多様な分野で優れた成果を生産に成功しています。これらの成功を踏まえ、実証研究の多くは、訓練過程で安定化をもたらすワッサーガンズ（WGANs）と呼ばれるいとこのアプローチの利点を検証しています。本論文では、我々はWGANsのプロパティでいくつかの理論的な進歩を提案することにより、建物に新しい石を追加します。まず、我々は適切にニューラルネットワークによってパラメータの積分確率メトリックのコンテキストでWGANsのアーキテクチャを定義し、その基本的な数学的な機能のいくつかを強調します。私たちは、パラメトリック1-リプシッツ弁別器の使用に起因する特定の興味深い最適化のプロパティで強調しています。次いで、サンプルサイズが無限大になる傾向があるように、統計的に主導のアプローチでは、我々は経験的WGANsの収束を検討し、いくつかのトレードオフ特性を下線で発電機及びdiscrimi-natorの敵対的効果を明らかにする。これらの機能は、最終的には両方の合成と実世界のデータセットを用いた実験で示されています。,2020-06-04T07:55:41Z,http://arxiv.org/abs/2006.02682v1,http://arxiv.org/pdf/2006.02682v1
DASC：A道路ダメージ-Awareのソーシャル・メディア・ドリブンカーセンシングフレームワークのための災害対策アプリケーションに向けて,車両センサネットワーク（VSNを）が車に組み込まれたセンサーを利用し、モバイルセンシングパラダイムの身長を獲得しているが、彼らは車のドライバーが唯一の日和見新しいイベントを発見するため、スコープを検知限られています。逆に、社会的なセンシングは、物理的な世界についての測定は、ヒトから収集された新しいセンシングパラダイムとして浮上しています。 VSNをとは対照的に、社会的なセンシングは、より普及しているが、その主要な制限のあるデータに起因するその一貫性のない信頼性の嘘は信頼できない人間センサによって貢献しました。本論文では、現在DASC、道路の損傷を意識し、社会的センシングおよび信頼性の高い災害対応アプリケーションのためのVSNの総合力を活用するソーシャルメディア主導の車センシングフレームワーク。しかし、社会的なセンシングとVSNを統合することは課題の新しいセットを導入した：i）をどのように活用うるさいと信頼性の低い社会的な信号にルーティングする車の関心の正確な領域への？ ⅱ）どのように合理的な行為者である車のドライバーによって引き起こされる矛盾可用性（例えば、大量生産で有名）に取り組むには？ ⅲ）また、物理的な世界とソーシャルメディアのダイナミクスを取り扱いながら、効率的に、災害によって引き起こされる道路損傷の少しの事前の知識を持つイベントの場所に車を導くためにどのように？ DASCフレームワークアドレスゲーム理論、フィードバック制御、及びマルコフ決定過程（MDP）からの技術を用いる新規なハイブリッドソーシャル車感知システムを確立することにより、上記の課題。特に、DASCの留出し信号が効果的に緊急事態を確認するためのターゲットエリアに車を運転するためにソーシャルメディアや発見、道路の被害から放出されます。私たちは、現実世界の災害対応シナリオをエミュレートすることができます評判の車両シミュレータでDASCを実装し、評価します。実際のアプリケーションの結果は、検出精度と効率の現在のVSNをベースのソリューションに比べてDASCの優位性を示します。,2020-06-04T07:55:18Z,http://arxiv.org/abs/2006.02681v1,http://arxiv.org/pdf/2006.02681v1
騒々しい観測とサンプル効率的なグラフベースの最適化,私たちは、ノイズの多い観測下のグラフの上に定義されて最適化する「山登り優しい」機能のサンプル複雑性を研究しています。私たちは、凸部の概念を定義し、我々は最高の腕の識別のバリアントは、グラフのサイズとは無関係であるクエリの数が少ないの後にほぼ最適解を見つけることができることを示しています。極小値を持っており、ほぼ凸な関数のために、私たちは騒々しい観測の下で、古典的なシミュレーテッドアニーリングのためのサンプルの複雑さを示しています。私たちは、再起動すると貪欲アルゴリズムとグラフベースの最近傍分類だけでなく、ウェブ文書再順位アプリケーションの問題にシミュレーテッドアニーリングの有効性を示します。,2020-06-04T07:22:28Z,http://arxiv.org/abs/2006.02672v1,http://arxiv.org/pdf/2006.02672v1
正確なマルチモーダル予測における事前知識の重要性,道路はよくジオメトリ、トポロジ、および交通ルールを定義しています。これは、広く法則に従う農産物操縦に運動計画方法で利用されてきたが、少しの作業は知覚と運動の予測方法でこれらの事前確率を利用するために専念してきました。本論文では、損失関数として、これらの構造化事前分布を組み込むことを提案します。ハードな制約を課すこととは対照的に、このアプローチは、それらが現実の世界で発生したときのモデルは非対応演習を処理することができます。安全な動作計画は、最終的な目標であり、したがって、シーンの将来の発展の確率的特性が予想される最低のコストでプランを選択するキーです。この目標に向けて、私たちは、レバレッジは、このように全体の分布を最適化し、確率モデルからサンプルの軌跡にわたって非微分事前確率を組み込むために強化するという枠組みを設計します。私たちは、複雑な道路トポロジーとマルチエージェントの相互作用を含む実世界の自己駆動のデータセットに関する我々のアプローチの有効性を示します。私たちの運動の予測は、より良い精度を示し、理解をマッピングするが、最も重要なのは、当社の自己駆動車で撮影した、より安全な運動計画につながるだけではなく。私たちは、この評価の重要性にもかかわらず、それは多くの場合、前の知覚と運動の予測作品によって見過ごされていることを強調します。,2020-06-04T03:56:11Z,http://arxiv.org/abs/2006.02636v1,http://arxiv.org/pdf/2006.02636v1
